日期,获利比例,平均成本,90成本-低,90成本-高,90集中度,70成本-低,70成本-高,70集中度
2025-08-18,0.8575605549794011,6.17,5.61,6.51,0.07361555582623722,5.78,6.43,0.05326952345892014
2025-08-19,0.6462811437253435,6.19,5.61,6.51,0.07361555582623722,5.8,6.43,0.051668897715552324
2025-08-20,0.637915557089494,6.21,5.63,6.51,0.07197151875991621,5.82,6.43,0.05007312944733864
2025-08-21,0.4395333013908765,6.21,5.63,6.49,0.07054824100014394,5.84,6.41,0.04703839432931806
2025-08-22,0.6997186180193763,6.23,5.65,6.49,0.06890890094034526,5.86,6.41,0.045452059290050834
2025-08-25,0.728242807248191,6.23,5.65,6.49,0.06890890094034526,5.87,6.41,0.04387052379209972
2025-08-26,0.5294933208731056,6.25,5.67,6.49,0.06727457387618123,5.87,6.4,0.042421922004047465
2025-08-27,0.17446132033667378,6.23,5.67,6.49,0.06727457387618123,5.89,6.4,0.04084497042712734
2025-08-28,0.2824797006132394,6.21,5.69,6.47,0.06421663869999113,5.89,6.38,0.039391784718044096
2025-08-29,0.27808814843969526,6.19,5.69,6.47,0.06421663869999113,5.89,6.38,0.039391784718044096
2025-09-01,0.21706823722961038,6.19,5.69,6.47,0.06421663869999113,5.89,6.38,0.039391784718044096
2025-09-02,0.11274223561080622,6.17,5.71,6.47,0.0625919700184629,5.87,6.36,0.039511510017775246
2025-09-03,0.013073242992062322,6.15,5.61,6.47,0.07076530045540375,5.82,6.36,0.044272369037449376
2025-09-04,0.02055207139234562,6.14,5.47,6.47,0.08410741998605512,5.74,6.36,0.050688433322058135
2025-09-05,0.07149804393737022,6.12,5.39,6.47,0.09090394713018284,5.71,6.36,0.05392612204713465
2025-09-08,0.10270938821427167,6.12,5.39,6.45,0.08947687564816757,5.63,6.34,0.05900290361999579
2025-09-09,0.010319980328941783,6.1,5.37,6.45,0.09118979237379525,5.58,6.34,0.06395895633760784
2025-09-10,0.053244359658769,6.08,5.35,6.45,0.09290810380603165,5.48,6.34,0.07232293877921701
2025-09-11,0.17529810681731076,6.06,5.35,6.45,0.09290810380603165,5.43,6.34,0.07740474819077173
2025-09-12,0.1643358061792309,6.04,5.35,6.45,0.09290810380603165,5.43,6.34,0.07740474819077173
2025-09-15,0.1286582711821389,6.02,5.35,6.45,0.09290810380603165,5.43,6.32,0.07594502895918302
2025-09-16,0.24298307869893723,6.02,5.35,6.45,0.09290810380603165,5.43,6.32,0.07594502895918302
2025-09-17,0.22197079049339916,6.01,5.37,6.45,0.09118979237379525,5.43,6.32,0.07594502895918302
2025-09-18,0.05150367569526858,5.99,5.35,6.45,0.09290810380603165,5.43,6.32,0.07594502895918302
2025-09-19,0.08145658718508686,5.97,5.35,6.43,0.09147744095474529,5.43,6.32,0.07594502895918302
2025-09-22,0.13340795418212725,5.97,5.35,6.43,0.09147744095474529,5.41,6.3,0.07618611047444415
2025-09-23,0.02765499968789493,5.93,5.34,6.43,0.09320163557664347,5.39,6.3,0.07789695999265395
2025-09-24,0.14673454804543876,5.91,5.32,6.43,0.09493128619897873,5.39,6.3,0.07789695999265395
2025-09-25,0.035249504596149596,5.89,5.32,6.43,0.09493128619897873,5.37,6.3,0.07961325776301112
2025-09-26,0.014113789121176333,5.87,5.32,6.43,0.09493128619897873,5.37,6.3,0.07961325776301112
2025-09-29,0.0697161660290024,5.86,5.28,6.43,0.09840705936282373,5.35,6.3,0.08133502985220709
2025-09-30,0.24763121780189834,5.84,5.28,6.43,0.09840705936282373,5.35,6.3,0.08133502985220709
2025-10-09,0.44126250829459807,5.78,5.3,6.41,0.09523263809305525,5.35,6.28,0.07986759855142661
2025-10-10,0.39827047216378575,5.73,5.3,6.41,0.09523263809305525,5.35,6.28,0.07986759855142661
2025-10-13,0.4760972977523762,5.67,5.3,6.41,0.09523263809305525,5.35,6.28,0.07986759855142661
2025-10-14,0.400794134887332,5.61,5.3,6.41,0.09523263809305525,5.37,6.28,0.07814542083839499
2025-10-15,0.43659808903695807,5.6,5.3,6.41,0.09523263809305525,5.37,6.28,0.07814542083839499
2025-10-16,0.29791119690748313,5.58,5.3,6.41,0.09523263809305525,5.37,6.27,0.07667289460936956
2025-10-17,0.042356113716972,5.56,5.3,6.41,0.09523263809305525,5.37,6.27,0.07667289460936956
2025-10-20,0.18930379610384673,5.56,5.3,6.4,0.09379429876666494,5.37,6.27,0.07667289460936956
2025-10-21,0.33467473477456905,5.54,5.3,6.4,0.09379429876666494,5.37,6.27,0.07667289460936956
2025-10-22,0.3837993472741277,5.54,5.3,6.4,0.09379429876666494,5.37,6.27,0.07667289460936956
2025-10-23,0.3114557347453113,5.54,5.3,6.4,0.09379429876666494,5.37,6.27,0.07667289460936956
2025-10-24,0.5523746007016853,5.54,5.3,6.4,0.09379429876666494,5.37,6.25,0.07519565656857359
2025-10-27,0.5557556040915728,5.56,5.32,6.4,0.09205821682328669,5.37,6.25,0.07519565656857359
2025-10-28,0.6202948118759483,5.58,5.32,6.4,0.09205821682328669,5.37,6.25,0.07519565656857359
2025-10-29,0.6142469266819468,5.58,5.32,6.38,0.09061483101186268,5.37,6.25,0.07519565656857359
2025-10-30,0.39711624949681196,5.58,5.32,6.38,0.09061483101186268,5.37,6.23,0.07371368406437652
2025-10-31,0.39005008041992917,5.58,5.32,6.38,0.09061483101186268,5.39,6.23,0.07199584139544289
2025-11-03,0.5367901688315191,5.56,5.32,6.38,0.09061483101186268,5.39,6.21,0.07050874127896888
2025-11-04,0.3838927965816373,5.56,5.32,6.38,0.09061483101186268,5.39,6.21,0.07050874127896888
2025-11-05,0.5273441878640864,5.56,5.32,6.36,0.08916684869457248,5.39,6.21,0.07050874127896888
2025-11-06,0.528312542063205,5.56,5.32,6.36,0.08916684869457248,5.39,6.21,0.07050874127896888
