日期,获利比例,平均成本,90成本-低,90成本-高,90集中度,70成本-低,70成本-高,70集中度
2025-11-27,0.985211841021501,10.65,9.62,11.15,0.0735560149890167,10.02,10.95,0.04434774261670882
2025-11-28,1.0,10.66,9.64,12.44,0.12686639754875734,10.06,11.04,0.04665427982386932
2025-12-01,1.0,10.77,9.71,13.03,0.14618253930780492,10.12,12.43,0.10234683676869613
2025-12-02,1.0,10.79,9.73,13.5,0.16204974147144635,10.18,12.67,0.10905806148377716
2025-12-03,1.0,11.19,9.88,16.23,0.24333772001974008,10.34,15.97,0.2141311890281236
2025-12-04,0.5023070314787402,13.48,9.94,16.17,0.23832044744201347,10.53,15.84,0.20118078175895768
2025-12-05,0.6163820361619965,14.73,10.08,16.1,0.23021700783525445,10.6,15.71,0.19421200865341443
2025-12-08,0.8662624897606213,14.99,10.21,16.1,0.22409077921547815,10.8,15.64,0.18333942569351375
2025-12-09,0.6640834188009208,15.12,10.34,16.1,0.21802526298688107,10.93,15.71,0.1795274955652314
2025-12-10,0.7888667074285887,15.18,10.47,16.04,0.210072117332469,12.43,15.64,0.11431958999464553
2025-12-11,0.15564285016098825,15.12,10.53,16.04,0.2070888736208221,13.15,15.58,0.08435491104798921
2025-12-12,0.12464343042273314,14.99,10.66,15.97,0.19920174165457183,13.22,15.51,0.07979518612647633
2025-12-15,0.11937485541614902,14.86,10.66,15.9,0.19722749868649714,12.83,15.51,0.09477074649488444
2025-12-16,0.09298703514421555,14.73,10.73,15.9,0.1942831801322367,12.43,15.45,0.10807687863498051
2025-12-17,0.20590261558789438,14.59,10.8,15.84,0.1893646186099017,12.37,15.45,0.11068643348004009
2025-12-18,0.07478895991504063,14.33,10.8,15.84,0.1893646186099017,12.24,15.45,0.1159425911559348
2025-12-19,0.17882649804826084,13.48,10.86,15.77,0.1844460570875665,12.24,15.38,0.11384579493759482
2025-12-22,0.19068535602025696,13.35,10.86,15.77,0.1844460570875665,12.24,15.38,0.11384579493759482
2025-12-23,0.27007099116547534,13.35,10.86,15.77,0.1844460570875665,12.24,15.38,0.11384579493759482
