kelly_weight	gain_loss_r	mean_slip_accurance	gain_loss_p	S_paths[0]	assets
1.00000   0.00805   0.94951   0.00544   16.27000  15.11074  
1.00000   -0.02889  0.94253   -0.00511  15.80000  15.23245  
0.00000   0.00886   0.92699   -0.00274  15.94000  14.79242  
0.00000   -0.01129  0.93806   -0.00563  15.76000  14.79242  
0.00000   0.04442   0.93671   0.01048   16.46000  14.79242  
1.00000   -0.00243  0.90122   0.00951   16.42000  14.79242  
1.00000   -0.00183  0.89019   0.00617   16.39000  14.75648  
1.00000   0.01098   0.90497   0.00680   16.57000  14.72952  
1.00000   0.03078   0.91430   0.01471   17.08000  14.89128  
1.00000   -0.01054  0.88237   0.00785   16.90000  15.34961  
1.00000   -0.02959  0.89202   -0.00573  16.40000  15.18785  
0.00000   -0.01890  0.88781   -0.01340  16.09000  14.73850  
0.00000   0.02175   0.86173   -0.00422  16.44000  14.73850  
0.00000   0.00000   0.89824   -0.00084  16.44000  14.73850  
0.00000   0.00791   0.93568   0.00349   16.57000  14.73850  
1.00000   -0.01992  0.94960   -0.00339  16.24000  14.73850  
0.00000   0.01416   0.94897   0.00093   16.47000  14.44498  
1.00000   -0.03947  0.95798   -0.01203  15.82000  14.44498  
0.00000   0.06511   0.91097   0.01047   16.85000  13.87490  
1.00000   0.02730   0.86816   0.02053   17.31000  13.87490  
1.00000   0.00231   0.81170   0.01747   17.35000  14.25368  
1.00000   0.02248   0.80070   0.01873   17.74000  14.28661  
1.00000   -0.00733  0.79522   0.00963   17.61000  14.60775  
1.00000   -0.01022  0.83673   0.00105   17.43000  14.50071  
1.00000   0.02295   0.89381   0.00619   17.83000  14.35249  
1.00000   0.00953   0.91414   0.00815   18.00000  14.68186  
1.00000   0.01778   0.91420   0.01226   18.32000  14.82185  
1.00000   -0.02183  0.89231   0.00166   17.92000  15.08535  
1.00000   0.09989   0.91633   0.03198   19.71000  14.75597  
1.00000   -0.00812  0.80538   0.02362   19.55000  16.22992  
1.00000   -0.01023  0.76626   0.01172   19.35000  16.09817  
